steps: 59	 cu: 0.00	 dia: 2023-12-06--10:18:41	 malha: 4000000
Tempo (acima) 7.000000	 treads: 1	 ox: 0	 cc: gcc-native
steps: 59	 cu: 0.00	 dia: 2023-12-06--10:19:28	 malha: 4000000
Tempo (acima) 7.000000	 treads: 1	 ox: 0	 cc: gcc-native
steps: 59	 cu: 0.00	 dia: 2023-12-06--10:20:20	 malha: 4000000
Tempo (acima) 35.000000	 treads: 1	 ox: 0	 cc: gcc
steps: 59	 cu: 0.00	 dia: 2023-12-06--10:27:02	 malha: 4000000
Tempo (acima) 8.000000	 treads: 1	 ox: 0	 cc: gnu-mtune
steps: 59	 cu: 0.00	 dia: 2023-12-06--11:53:10	 malha: 4000000
Tempo (acima) 7.000000	 treads: 8	 ox: 0	 cc: gnu-mtune
steps: 57	 cu: -0.00	 dia: 2023-12-06--15:57:30	 malha: 16000000
Tempo (acima) 8	 treads: 0	 ox: 1411158681	 cc: (null)
steps: 71	 cu: -0.00	 dia: 2023-12-06--16:02:26	 malha: 16000000
Tempo (acima) 8	 treads: 0	 ox: -607464279	 cc: (null)
steps: 59	 cu: 0.00	 dia: 2023-12-06--17:21:03	 malha: 4000000
Tempo (acima) 1	 treads: 0	 ox: -1063662087	 cc: (null)
steps: 59	 cu: 0.00	 dia: 2023-12-06--17:22:13	 malha: 5760000
Tempo (acima) 1	 treads: 0	 ox: -912129735	 cc: (null)
steps: 59	 cu: 0.00	 dia: 2023-12-06--17:31:26	 malha: 5760000
Tempo (acima) 8	 treads: 0	 ox: -1215720455	 cc: (null)
steps: 59	 cu: 0.00	 dia: 2023-12-07--11:44:56	 malha: 5760000
Tempo (acima) 14.000000	 treads: 1	 ox: 0	 cc: gnu_mtune
steps: 59	 cu: 0.00	 dia: 2023-12-07--11:46:21	 malha: 5760000
Tempo (acima) 35.000000	 treads: 1	 ox: 0	 cc: gnu_mtune
steps: 59	 cu: 0.00	 dia: 2023-12-07--11:49:01	 malha: 5760000
Tempo (acima) 14.000000	 treads: 1	 ox: 0	 cc: gnu_mtune
